well,oracle_shift,base_rmse,tw_delta,prefix_delta,ridge_correction,ridge_rmse
c1708b88,-12.458350158832298,16.945818803173225,-4.016507733737363,-19.45308436150806,-1.2840113364381822,16.025483903694344
c3957531,-3.0921424517087996,12.699259051146441,-0.43037707631230027,-16.401078150007514,5.323490003900043,14.917530128488803
c472c0b5,-0.12598201977821433,2.6047008446705275,0.7890954615726287,-22.02852802263417,2.4122613248833122,3.6347316679007564
c50b42f6,6.0563896801056085,9.231868835769209,-6.098991889298748,-20.297137156771015,-5.719581755677035,13.682874314262989
c59b6c4a,-22.800800812241235,26.911952772664304,-1.1308731826633198,-15.073721792896633,-0.9459437158380783,26.115349185159307
c6797dd7,-6.614106587327994,8.285668971975245,-4.859675832359236,-15.11171134002814,-1.2902822758387942,7.2971919026582786
c70c0e01,-5.039494293516754,8.82216297783491,1.269885226277981,-15.336171299550902,2.497726250356173,10.451973517000205
c8d9680c,36.290747799295566,39.4508295358695,3.0691988614775174,-6.614931232319213,1.467796634493088,38.10495378638258
c9e980e8,-9.643552773359872,12.236027089622603,-3.4698008650533922,-19.41711546695396,-3.739108120000854,9.569990361018533
c9fedcf3,2.426308361916566,3.1646878285894386,6.270980106943243,-19.434781545952603,4.9745951933729735,3.259147520547232
cbe51de1,9.876407049389682,12.974331772205073,-1.4897561480136785,-17.714877552430224,0.22866872367298968,12.801121963777378
cbe62450,12.548824080675749,15.222855752406886,5.586492045763853,-3.0488033301416824,2.4345196123948076,13.287644875144075
cda7eb37,1.0338050984756741,10.6821419048405,0.9177023077150613,-13.627562048652935,2.9231969775365907,10.798574182093647
cdc60a53,-0.2699564984518846,8.049727217988181,-4.144916641171674,-15.86909777343992,-0.3561855517712593,8.045661391246814
cf50c9d1,-19.749238974812354,21.407260545938726,-2.786934479478383,-9.920934933256394,0.7980045255916968,22.145599550754007
d011f41b,-9.449099607460546,10.92631496499259,1.683507652354496,-15.769722814144878,1.469903169150202,12.21979938289309
d0a0e7b5,7.275851677474176,8.366922621543011,1.0334320853038812,-7.984236961108797,2.2346745352485,6.517733003244995
d0a43760,8.941631040691169,10.237765248853531,1.1506952138196807,-7.053473233565657,1.5460257957544954,8.919307627933467
d114d9c2,-2.2108504230620745,6.415312500918084,1.2848052516047421,-14.705612393581891,1.767572518875416,7.217771400938839
d1457cc5,3.9112316567006737,8.119098764052096,0.7158119534984553,-7.608627392502462,4.002618298346864,7.115503017097685
d1ecf309,8.147089042775573,10.845817273118726,1.9933568287617793,-10.881692830070762,2.761699905493252,8.958744812244754
d24ff243,0.14749205188025363,3.0795971250246623,-1.3433990853625877,-17.920440400559038,-2.5309711659888507,4.078765714841622
d273674e,-2.348311254908213,4.186003740454037,0.93065697541901,-9.807720997470785,1.3539671403493114,5.070988747882666
d2f3b1ab,-1.8997409753693533,12.570474420637995,3.978201180731797,-17.852741784898843,1.676467524621914,12.930470935809817
d41beaf2,-11.312554847274315,13.388923317760607,-6.621990466439164,-13.595177582408649,-3.0446150235884537,10.93838193538513
d543916f,6.05792061255426,8.588997264334202,0.6649179467075353,-11.794328040821298,-0.20550421817994535,8.735156694014707
d5df0ff5,-7.9829758867964635,8.9887346739591,-10.885741611851017,-11.046121597844998,-1.0233650290273888,8.093554863053063
d6dd7330,5.8918970596081675,9.259883846110863,6.641568978341249,-2.768200821347923,5.860827783028752,7.143665948404415
da3cf798,10.014132676209371,11.632405761653532,6.401225373369306,-18.892762729067563,5.102082256862467,7.691440038720397
dd168de0,2.08022522342327,3.88947973080581,,,-1.371038638314367,4.765704338239404
df8290be,6.087910123118548,11.431404032790672,1.055586851024422,-11.014499264786263,1.3737195010736525,10.762803617770887
e0079ed1,-1.6439032035901424,4.450798360584396,-6.539833961961241,-14.887222830911693,-3.7554499679298083,4.6439011662395195
e03b45fd,1.329132286494752,13.400822534804647,-0.7558058829104906,-13.38666440196971,2.654300661345842,13.400429963103141
e0f36d98,6.8687634276741525,10.183178361284735,8.794949982827504,-13.399046583573137,4.532037696361083,7.8725788440488165
