mode,fold,well,typewell_profile_hash,spatial_cluster_id,n_rows,base_sse,typewell_sse,ordered_sse,joint_sse
region_out,0,8d5d46d7,7a0fb475705846f8a404666b698ef2ee0bf308a855cca2441efd65b7c253f4f8,region_fold_0,5755,338824.4957955014,631819.924501248,167335.2526418768,390177.65806012927
region_out,0,8f201368,65f98f51e14997253e66b5c983449f4b597d9bf2c89284166118b8f150019d2c,region_fold_0,6349,3750871.8321606396,2855553.5220561903,3128389.2990296204,2434967.9999632332
region_out,0,90386ee4,60f0eed1d6ac8545138648488bd07767dafd3ea31caa2fbdd11af87d3ae06f05,region_fold_0,3840,124274.2478673885,261762.35083963658,191332.20602837333,305979.46379107505
region_out,0,91abc4c7,ed2a3588e70553bf39baf22e515809acc61ee93df4576aa0033e8d00af5116d8,region_fold_0,5848,1441804.0701435895,977962.659383038,1118134.759068667,779804.2429549356
region_out,0,9314ff13,9ab9e19e99b3b5e09f10270d8882ecaccfd95190709280e8b082530c04989c00,region_fold_0,2748,442456.1964902221,536149.6898611919,567572.8143697567,645353.7428745965
region_out,0,95c8427f,f39e247ff187314c2ca82d63711da1b3a148eb75802c5675e4027cb9658152dd,region_fold_0,6335,3782020.028253477,2161040.5141245136,2190061.9296336174,1207300.4620108218
region_out,0,974802e7,cc360031d535fee5aa3e49f9e3290721b048862e35616ddc7bbf0a81b0f3a5a9,region_fold_0,5843,322520.1326745389,529946.8807215323,497884.4522372647,686974.4133877509
region_out,0,98bc6f66,c7f05862e4afe292b0b72ba2ccd759b6fe21fad15b0bd4fb15df4c7114a06d8e,region_fold_0,6063,654337.7762698359,1508994.9550568904,436757.1091991487,1115342.7032255917
region_out,0,992ce078,0cb637ad979ceb19cbbbbad2abfa2b2829b1f15ba07529ef9b846ad7be1900cd,region_fold_0,2879,411870.54451682715,582288.6138466313,328636.7023916424,476551.52753266727
region_out,0,99529c45,0f072b090daae1c69a5b681ea651254ef386601581c509525f7ce3ce1936496f,region_fold_0,5840,1579907.8964526094,1290085.4964298941,1541905.9122769646,1290940.669083907
region_out,0,995ff498,7974b49a291ea95365c2d7678004680d49404e31bdd3fd539c8af6e329abd558,region_fold_0,4526,196890.6026935514,185863.52211793207,183334.94251024313,178741.82145509892
region_out,0,9a95e33f,f52f1fb43dfd56e3284aea4bc9bbdea7db4127f1886afd2d25c8048add2b26c0,region_fold_0,6447,7710900.797054446,6907250.4637929415,5395010.739034426,5007982.986537922
region_out,0,9c211c53,03f9a88959c3484c99bd67a293240356ad39bfad076ecc94a127f861f502ea5d,region_fold_0,7265,184446.2981181075,134043.86429258913,289651.3014185287,187220.08405619246
region_out,0,9d5e14d4,2e891be6373cfd51cc427823ac15e778eeeb3ac0346f9d611b1ca2c8c5445f60,region_fold_0,5400,3914264.5523959706,3823939.235565549,3514628.626864261,3481557.545183109
region_out,0,9ffce529,9b87e997607641dbd91491e034f8e4bbf95c3613f6d28343af4e4048e2b32c3b,region_fold_0,5212,919339.921576262,1122125.0781263069,561440.948663934,748581.8476445503
region_out,0,a0383629,99f6edc1899bb80f7a721890a58a27c1493e2fe687512affe78a917aac20a067,region_fold_0,5832,364092.39913796046,211181.5744698788,317785.04573517916,189153.43729984056
region_out,0,a247e7cf,b4c87f59c46bde1566cc365abd6dbf329143b0ec30783c70a232105661a549df,region_fold_0,5674,246621.57273477217,101064.5935665051,99320.36729491435,40591.26835401473
region_out,0,a4cdbb0f,a7abb31e9ab50c12dbfd46ae6360653812fc552afe439ffc2ef4f083343c5b4b,region_fold_0,5204,394588.9360909259,369141.8023844931,739656.9804757192,638047.0688173102
region_out,0,a692b17e,3a85f9745826e33a1cccd2012f4f31e13b19d8a90ea3e9ba2ec14ea8d60afc1c,region_fold_0,3566,270008.6089569019,227852.61850555683,363289.07509838464,305294.55200208107
region_out,0,a7744f5b,fa2d93c62e450d44d3340e1c54c8993f3c879b087b38887ff12f62404da4a3af,region_fold_0,4377,806017.0986882971,824564.2834351365,724824.5583357953,749236.5276108381
region_out,0,a85e4bc3,9d5b50f40e6a90a35a80c585af16f63ab7705b5d9d2b63ab4a79bf07dd4c6fd3,region_fold_0,4581,258585.0436161036,218005.56753762046,330387.4944709942,271098.9196963665
region_out,0,aaaf3c03,7ee5f165c61cc617be6e68eedf9eb5b3796f603f28e1e74ff2241e615b55d234,region_fold_0,2997,1176642.1304512755,977191.1394130059,1209005.0808025594,1005024.5304695222
region_out,0,ab6fe95d,b1df3627d1be5b12d1a638157b3a361efdc270fafee7c17892a7eb4cab021381,region_fold_0,5491,136285.74006514886,131654.26721089968,85162.98076585367,86730.26169413605
region_out,0,ad2133a8,8ce5741efeb67c19dbb3aa047940e52b2833935d522b81a0f4fe7040d2d0793b,region_fold_0,5729,3524220.954049245,4656169.573530935,2759128.040562312,3739806.288832552
region_out,0,af7a59ce,5629b6ef944bb40379e25d12182a02264c2b87c94ccaf5f0654d505148ce2db7,region_fold_0,3024,19218.63947499118,20621.20914709205,58417.56217136544,32589.78920436507
region_out,0,aff4e561,a1f38a8d268a812e025ee9ec3bfba47fce78c3c366c5e5a9f3cb6d48bfea919d,region_fold_0,6026,100852.50509802107,152273.77365358744,145580.6317754912,140484.1028305351
region_out,0,b19b0395,02f0159a9e9484a1998a6c45121dcb0ea3323b9173fca1d6e48717d812fac136,region_fold_0,5813,696298.9479860156,570716.2553211008,657222.0237396029,551799.3847943376
region_out,0,b32e4903,95228b84ee898cb8f01cc56bc513779b63a230d43ee3b0562e122281a5ca6836,region_fold_0,5770,56251.83025645875,166068.4939876555,46329.915950273906,124096.74288059105
region_out,0,b3388334,f06e9d325dacc548f0e3eb1469899fb4cd330b304d47cf7695788c9bd6525a77,region_fold_0,6080,1230664.3780527734,1376707.1380395205,931832.0139962693,1079650.820734437
region_out,0,b585b4fa,d1f6b9f7f734f107b239bf8375bab08244cf0cf1276f3249334a02cbfda80fc2,region_fold_0,4294,213651.57893273968,283779.08103024354,258279.14186690398,296736.5138706214
region_out,0,b7cdcecb,e36fab9d9c34d82bf6deada876717ee0b6fb9295aea184f1f888c5fa96e8b6c5,region_fold_0,6168,286741.0543475689,221340.81618843856,205955.4520132469,166290.72514376894
region_out,0,b881d27e,33c294fdbe0c934a42e1173f481faae77a1468b9bad27426f4f13178bee5e974,region_fold_0,4009,253301.47583796072,147078.4289387314,228441.38645992297,138413.1661656548
region_out,0,bb2cdd83,2d4df2a4164cdfb9b03883c322126baa7c3431b6a149e4ae9d125c0f9412284b,region_fold_0,3825,184770.88606693954,262576.5352438247,129949.82493181244,195141.41434703703
region_out,0,bd2c2f34,3b14194a7e806ea5ed2f058a05e29a18ad80827a92316b4eae19709d88bd5294,region_fold_0,9823,660763.7811838547,448342.86644971865,321868.7760346224,217014.17648501304
region_out,0,be83e781,3d649c9ac0a097a340ea3914f72d277e8679a3b97eb025889700efe44a10e73b,region_fold_0,3221,255954.44722346807,217208.75031142967,427743.8755672246,358517.00180738035
region_out,0,beda8696,e792b33f7bd593e288dc247642f63abd0a85681487a50417e9cde56df082da33,region_fold_0,5912,1424574.2188204878,1519007.7767721293,1034799.0951090727,1145179.040504415
region_out,0,bf39bc20,87ab030ae733bf90b82c2b4c0c1a82488f25a0182da203e4d2b505c3a5202857,region_fold_0,3303,209902.5686929317,197938.0208280544,201176.43424372972,164706.01827113642
region_out,0,bf70b410,03f237453340a7a43e00cbb22e0d98dca12b2a51ce44e38a59583834c66bae54,region_fold_0,6347,3639476.8978804075,3140093.035950019,2696163.796422485,2423335.52175604
