well,oracle_shift,base_rmse,tw_delta,prefix_delta,ridge_correction,ridge_rmse,ordered_rmse
5bd25f59,-0.6476721398723488,2.0658715654975435,1.8832602781235046,-8.971268792588091,-2.1617858648069936,2.4780812126325533,1.80700759428043
5d11dfb5,-3.314539859690093,9.61362278921078,-0.5490507286026342,-15.233391344550943,2.107158964350242,10.527601188797165,9.78267014964959
5def1ce5,-1.0248831871507418,6.652989566778979,0.2785537882388099,-15.175085136513886,-6.206097780484481,8.369998165504267,6.725928278788053
5eae34a8,-1.7116193979050223,5.802700950495458,-2.602974635934093,-17.040606808483243,0.8011743757810237,6.087349990486351,5.320080263641521
5f4d2a52,43.583392726345956,52.14008755763614,-8.628141174533683,1.1027276095628313,-0.9862779003261265,52.96727431866935,44.410858479138504
5f6756c5,10.661819492570517,11.695023991876257,-0.4314964804139321,-7.750362578673275,-4.864156623770766,16.252849769920832,10.6952845668682
60e37807,11.415444107178729,18.977895423282245,6.323085664877496,-13.54308910018891,3.319863722735182,17.18681390758301,17.25019526468263
62569ae3,-6.789728647968799,8.59138161266933,-7.061336770538618,-15.644255455289947,-6.029749946140381,5.3187395620293305,8.096830922487388
647f2a41,-6.558244230900584,8.970220524724425,9.200782282132119,-22.18432087913009,8.171018242640205,15.950092848773142,8.662856177681823
656a067b,0.7652822191088393,11.781074736072714,-1.2540662755866487,-15.565455763899395,-0.5616544060137924,11.830842145390116,12.16048418266473
684a6fc1,10.696537728453382,12.966456700473023,8.470032960163003,-13.050820358206437,9.749750530766022,7.38982313636264,11.635375166102817
699ea575,3.97815020017974,7.743472536518413,7.352005619980721,-11.012287657164423,0.37297987752202494,7.558633538146714,8.241326204111049
69c1bdad,-2.1017243717557172,5.874545447247779,-1.7873887534061699,-9.290809266611776,0.00881194021985876,5.877703837479304,5.793188713203881
6d590e26,-0.09111452651347023,7.525889673719335,3.669447049098443,-16.52080149455537,5.201395383071223,9.200074709865856,7.110458058731843
6d6d93af,-22.28445016527116,25.453423736433734,-4.369399871840108,3.2425963916216913,0.2757945059446167,25.695227190337892,24.516446351241008
6ea22614,-8.553412093669822,10.89827723370709,0.5558949511742176,-11.189139702885333,1.6432592786623026,12.230441336842203,9.470754958404447
6ede926a,1.4812570041646225,3.8689204548326135,-5.2895430741851195,-2.7494281824291953,3.481504642014109,4.095779997284472,4.563640007231202
708caea9,22.950092904412667,26.14987634674743,-1.1438562251643924,-16.23559325995383,-2.8590323643996665,28.69181443844718,25.75744022447912
70925e23,-12.548967863782893,14.703440303396137,0.8715936769075787,-11.037699233780554,-11.898231375656579,7.690124855049926,16.48920489371482
71ccf778,-5.636416353271184,7.324931880648429,-2.235764352543596,-14.655051624276178,-0.9455362331092935,6.624937286528831,6.471064475095914
726f3dc2,-1.8433143812204058,5.884253012467891,7.222854725801863,-7.358148904291099,3.3349490233783388,7.618466872942579,6.297484558860023
729e9750,4.355683845092997,6.6288001623233725,0.9366581205101692,-13.432303994290907,2.656922404007021,5.277764703672912,7.054351033941455
739a914f,-11.456037021900123,16.008251310520528,-5.717033772156809,-19.609349422892496,-4.397141923999768,13.223136003867834,15.925465447707095
75d20a82,-6.935844699522159,15.187439920050085,9.861178525959456,-3.5182789244837487,10.234678889182197,21.849010731369816,14.902839749580899
764072a5,1.2855921254529301,2.9603047241983194,-1.7527792970399094,-20.11303201575294,-1.9229818280292803,4.17200236841351,2.59056799151317
77b0d905,4.506883827600338,5.513254665642644,0.5103089419775549,-15.493153741648843,-0.009848624208988799,5.521308469373678,5.221310461662566
7987f2f2,-5.186994432962045,9.826615673991283,-2.8482169983378434,-15.629156640228638,1.3242089206493923,10.585519990478705,9.808469699449285
7acda2df,6.54432128423816,11.862986488260955,2.771438477144413,-13.383248818788768,5.259790425146824,9.977591236229657,12.949530077350081
7b2c7b3c,-0.6427186344600059,4.382447826945767,-3.667717497779449,-10.545285901779812,-2.424858378225513,4.687086918239447,4.376809012129234
7bb17b96,11.782767504635556,13.87149758936397,-5.533711153336362,-11.253615393654933,-1.4636958578500372,15.134517729915135,13.391950398983889
8050c789,0.5890407828442046,7.8744329752835345,,,1.588514627842145,7.915723189021497,7.6162709793271075
807f0298,5.554574437857216,10.215769254699158,-0.891569745511002,-10.806807296052025,-6.556929284431933,14.839041973610911,11.742825514898273
